Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
TestDataConfiguration,90%,0.9,n/a,n/a,3,63,66,210,"1,168",3,63,0,1
PatternSubtreeConfigurationWrapper,16%,0.16,31%,0.31,65,71,136,73,90,57,63,0,1
DynamicCombinedConfiguration,54%,0.54,51%,0.51,68,111,179,83,207,50,85,0,1
TestBaseConfiguration,94%,0.94,100%,1,9,67,76,34,367,9,63,0,1
TestBaseNullConfiguration,90%,0.9,n/a,n/a,6,39,45,30,198,6,39,0,1
AbstractConfiguration,94%,0.94,86%,0.86,15,170,185,10,356,0,105,0,1
XMLPropertiesConfiguration,79%,0.79,58%,0.58,14,31,45,15,96,2,14,0,1
Logging,58%,0.58,50%,0.5,7,17,24,18,42,6,16,0,1
YAMLConfiguration,46%,0.46,n/a,n/a,3,8,11,23,39,3,8,0,1
TestAbstractHierarchicalConfiguration.AbstractHierarchicalConfigurationTestImpl,20%,0.2,n/a,n/a,10,12,22,10,13,10,12,0,1
TestCombinedConfiguration,97%,0.97,77%,0.77,7,77,84,15,473,3,68,0,1
TestINIConfiguration,97%,0.97,68%,0.68,4,86,90,11,498,0,78,0,1
TestAbstractConfigurationBasicFeatures,97%,0.97,100%,1,1,88,89,16,466,1,73,0,1
TestCompositeConfiguration,97%,0.97,80%,0.8,6,71,77,13,451,1,58,0,1
TestPropertiesConfiguration,98%,0.98,91%,0.91,5,104,109,12,574,2,86,0,1
TestHierarchicalConfiguration,95%,0.95,100%,1,6,54,60,14,252,6,45,0,1
TestConfigurationUtils,94%,0.94,100%,1,6,43,49,18,212,6,39,0,1
PropertiesConfiguration,93%,0.93,86%,0.86,12,70,82,9,156,1,30,0,1
ConfigurationUtils,91%,0.91,97%,0.97,4,41,45,11,106,3,24,0,1
DatabaseConfiguration,85%,0.85,100%,1,6,36,42,12,74,6,27,0,1
TestXMLConfiguration,99%,0.99,77%,0.77,5,116,121,13,826,0,105,0,1
XMLConfiguration,96%,0.96,99%,0.99,1,89,90,7,244,0,37,0,1
TestDynamicCombinedConfiguration,97%,0.97,84%,0.84,3,31,34,3,212,0,18,0,1
BaseHierarchicalConfiguration.InterpolatedVisitor,86%,0.86,71%,0.71,3,20,23,7,51,0,13,0,1
MapConfiguration,83%,0.83,100%,1,1,20,21,3,41,1,15,0,1
TestAbstractHierarchicalConfiguration,98%,0.98,94%,0.94,3,83,86,6,499,1,64,0,1
ConfigurationXMLReader,82%,0.82,92%,0.92,10,30,40,14,55,9,23,0,1
TestImmutableConfiguration,91%,0.91,100%,1,2,15,17,11,79,2,13,0,1
DataConfiguration,96%,0.96,83%,0.83,4,104,108,3,130,2,98,0,1
TestSubsetConfiguration,96%,0.96,100%,1,1,23,24,8,176,1,22,0,1
TestEnvironmentConfiguration,75%,0.75,100%,1,3,8,11,8,22,3,7,0,1
TestPropertiesConfigurationLayout,98%,0.98,62%,0.62,4,48,52,4,318,1,44,0,1
SubsetConfiguration,91%,0.91,83%,0.83,4,32,36,3,51,0,20,0,1
TestSubnodeConfiguration,97%,0.97,100%,1,1,36,37,6,206,1,34,0,1
TestXMLDocumentHelper,94%,0.94,100%,1,0,22,22,9,107,0,19,0,1
TestPatternSubtreeConfiguration,82%,0.82,50%,0.5,3,9,12,4,23,0,6,0,1
TestDynamicCombinedConfiguration.ReloadThread,80%,0.8,80%,0.8,2,7,9,3,24,0,2,0,1
JSONConfiguration,76%,0.76,n/a,n/a,1,5,6,8,22,1,5,0,1
XMLConfiguration.XMLBuilderVisitor,95%,0.95,88%,0.88,6,39,45,4,102,0,12,0,1
JNDIConfiguration,95%,0.95,89%,0.89,7,38,45,5,110,3,19,0,1
CompositeConfiguration,97%,0.97,92%,0.92,6,66,72,7,165,0,27,0,1
TestCombinedConfiguration.ReadThread,79%,0.79,66%,0.66,4,9,13,5,24,0,3,0,1
INIConfiguration,98%,0.98,96%,0.96,6,96,102,3,223,1,30,0,1
AbstractYAMLBasedConfiguration,93%,0.93,90%,0.9,2,19,21,3,51,1,9,0,1
PropertiesConfigurationLayout,98%,0.98,95%,0.95,4,79,83,4,176,0,37,0,1
InterpolationTestHelper,97%,0.97,100%,1,1,19,20,6,122,1,13,0,1
ConfigurationAssert,92%,0.92,100%,1,2,17,19,4,35,2,12,0,1
PropertiesConfigurationLayout.PropertyLayoutData,86%,0.86,90%,0.9,1,16,17,3,29,0,11,0,1
ConfigurationMap.ConfigurationSet.Entry,60%,0.6,n/a,n/a,1,4,5,3,8,1,4,0,1
TestDynamicCombinedConfiguration.ReaderThread,84%,0.84,50%,0.5,3,7,10,5,28,0,4,0,1
PropertiesConfiguration.PropertiesWriter,95%,0.95,95%,0.95,2,28,30,2,61,1,17,0,1
TestBaseHierarchicalConfigurationSynchronization.SubNodeAccessThread,79%,0.79,n/a,n/a,0,3,3,3,19,0,3,0,1
TestConfigurationUtils.new PropertiesConfiguration() {...},35%,0.35,n/a,n/a,1,2,3,2,3,1,2,0,1
NonCloneableConfiguration,23%,0.23,n/a,n/a,6,7,13,6,7,6,7,0,1
TestBaseConfigurationXMLReader,96%,0.96,100%,1,0,11,11,4,53,0,10,0,1
PrefixedKeysIterator,89%,0.89,81%,0.81,3,13,16,2,21,0,5,0,1
DatabaseConfigurationTestHelper,95%,0.95,70%,0.7,3,19,22,2,49,0,14,0,1
TestPropertiesConfiguration.new PropertiesConfiguration.IOFactory() {...},71%,0.71,n/a,n/a,1,3,4,3,7,1,3,0,1
AbstractConfiguration.new EventListener() {...},42%,0.42,n/a,n/a,1,2,3,2,3,1,2,0,1
TestAbstractConfiguration,97%,0.97,100%,1,0,14,14,3,77,0,13,0,1
TestJNDIEnvironmentValues,96%,0.96,71%,0.71,5,21,26,2,52,1,14,0,1
TestPropertiesConfiguration.new DefaultFileSystem() {...},75%,0.75,100%,1,0,3,3,2,7,0,2,0,1
TestHierarchicalXMLConfiguration,99%,0.99,75%,0.75,1,16,17,2,150,0,14,0,1
AbstractHierarchicalConfiguration,98%,0.98,98%,0.98,1,62,63,2,139,0,36,0,1
TestAbstractConfigurationSynchronization,98%,0.98,50%,0.5,2,23,25,2,79,1,22,0,1
BaseConfiguration,95%,0.95,100%,1,0,15,15,2,37,0,11,0,1
TestConfigurationLookup,95%,0.95,100%,1,1,9,10,2,30,1,7,0,1
HierarchicalConfigurationXMLReader.SAXVisitor,93%,0.93,70%,0.7,3,11,14,0,20,0,6,0,1
TestDatabaseConfiguration.PotentialErrorDatabaseConfiguration,84%,0.84,100%,1,0,3,3,2,10,0,2,0,1
INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},95%,0.95,87%,0.87,1,12,13,0,25,0,8,0,1
TestCombinedConfiguration.WriteThread,92%,0.92,100%,1,0,4,4,2,19,0,3,0,1
BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},72%,0.72,n/a,n/a,1,3,4,1,3,1,3,0,1
TestPropertiesConfiguration.new PropertiesConfiguration.IOFactory() {...},70%,0.7,n/a,n/a,1,3,4,1,3,1,3,0,1
TestNullCompositeConfiguration,99%,0.99,79%,0.79,5,37,42,0,228,0,25,0,1
BaseHierarchicalConfiguration,99%,0.99,96%,0.96,1,49,50,1,139,0,33,0,1
TestXMLListHandling,98%,0.98,100%,1,0,13,13,2,47,0,12,0,1
SystemConfiguration,95%,0.95,83%,0.83,2,9,11,2,23,1,6,0,1
TestINIConfiguration.GlobalSectionTestThread,86%,0.86,75%,0.75,1,4,5,2,10,0,2,0,1
TestPropertiesConfiguration.MockHttpURLConnection,82%,0.82,n/a,n/a,3,6,9,3,9,3,6,0,1
TestDatabaseConfiguration,99%,0.99,50%,0.5,1,44,45,1,203,0,43,0,1
DatabaseConfiguration.JdbcOperation,98%,0.98,91%,0.91,1,12,13,1,32,0,6,0,1
CombinedConfiguration,99%,0.99,95%,0.95,3,71,74,0,201,0,36,0,1
TestPropertiesSequence,99%,0.99,64%,0.64,10,18,28,0,69,0,4,0,1
TestDynamicCombinedConfiguration.ThreadLookup,93%,0.93,66%,0.66,2,7,9,1,11,0,4,0,1
TestBaseHierarchicalConfigurationSynchronization,99%,0.99,87%,0.87,1,21,22,0,103,0,17,0,1
NonStringTestHolder,99%,0.99,66%,0.66,2,21,23,0,70,0,18,0,1
TestNullJNDIEnvironmentValues,99%,0.99,71%,0.71,4,21,25,0,52,0,14,0,1
HierarchicalConfigurationConverter,99%,0.99,88%,0.88,2,15,17,1,46,0,6,0,1
SynchronizerTestImpl,99%,0.99,75%,0.75,1,14,15,0,30,0,12,0,1
PropertiesConfiguration.JupPropertiesReader,99%,0.99,87%,0.87,2,12,14,1,30,0,4,0,1
DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},97%,0.97,50%,0.5,1,3,4,0,4,0,2,0,1
DataConfiguration.DataConversionHandler,97%,0.97,83%,0.83,1,5,6,0,8,0,2,0,1
FileURLStreamHandler.new URLConnection() {...},95%,0.95,n/a,n/a,1,4,5,1,4,1,4,0,1
TestEqualBehavior,100%,1,80%,0.8,2,17,19,0,117,0,12,0,1
MockInitialContextFactory,100%,1,100%,1,0,16,16,0,60,0,10,0,1
TestJNDIConfiguration,100%,1,100%,1,0,34,34,0,110,0,33,0,1
TestJSONConfiguration,100%,1,n/a,n/a,0,12,12,0,56,0,12,0,1
TestXMLPropertiesConfiguration,100%,1,n/a,n/a,0,6,6,0,61,0,6,0,1
TestMapConfiguration,100%,1,n/a,n/a,0,12,12,0,63,0,12,0,1
TestConfigurationConverter,100%,1,n/a,n/a,0,8,8,0,56,0,8,0,1
TestYAMLConfiguration,100%,1,n/a,n/a,0,11,11,0,48,0,11,0,1
PropertiesConfiguration.PropertiesReader,100%,1,92%,0.92,1,23,24,0,56,0,16,0,1
BaseNonStringProperties,100%,1,n/a,n/a,0,24,24,0,65,0,24,0,1
TestConfigurationSet,100%,1,100%,1,0,9,9,0,26,0,5,0,1
XMLDocumentHelper,100%,1,100%,1,0,20,20,0,58,0,18,0,1
TestSystemConfiguration,100%,1,75%,0.75,1,8,9,0,47,0,6,0,1
TestConfigurationMap,100%,1,100%,1,0,6,6,0,18,0,4,0,1
TestXMLConfiguration_605,100%,1,n/a,n/a,0,12,12,0,50,0,12,0,1
CombinedConfiguration.ConfigData,100%,1,100%,1,0,14,14,0,43,0,10,0,1
XMLListReference,100%,1,95%,0.95,1,18,19,0,38,0,8,0,1
TestStrictConfigurationComparator,100%,1,n/a,n/a,0,3,3,0,29,0,3,0,1
BaseHierarchicalConfiguration.BuilderVisitor,100%,1,95%,0.95,1,14,15,0,34,0,4,0,1
DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},100%,1,100%,1,0,5,5,0,17,0,2,0,1
SubnodeConfiguration,100%,1,100%,1,0,14,14,0,26,0,11,0,1
TestHierarchicalConfigurationXMLReader,100%,1,n/a,n/a,0,4,4,0,26,0,4,0,1
AbstractHierarchicalConfiguration.DefinedKeysVisitor,100%,1,100%,1,0,9,9,0,22,0,6,0,1
DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},100%,1,100%,1,0,6,6,0,15,0,2,0,1
TestCatalogResolver,100%,1,n/a,n/a,0,9,9,0,25,0,9,0,1
ConfigurationConverter,100%,1,100%,1,0,8,8,0,24,0,5,0,1
TestPropertiesConfigurationLayout.PropertiesBuilder,100%,1,100%,1,0,8,8,0,16,0,6,0,1
XMLPropertiesConfiguration.XMLPropertiesHandler,100%,1,100%,1,0,8,8,0,18,0,4,0,1
StrictConfigurationComparator,100%,1,100%,1,0,10,10,0,19,0,2,0,1
PropertiesConfiguration.JupPropertiesWriter.new ValueTransformer() {...},100%,1,100%,1,0,4,4,0,9,0,2,0,1
TestThreesomeConfiguration,100%,1,n/a,n/a,0,5,5,0,17,0,5,0,1
DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},100%,1,100%,1,0,3,3,0,6,0,2,0,1
DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},100%,1,n/a,n/a,0,2,2,0,5,0,2,0,1
DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},100%,1,n/a,n/a,0,2,2,0,4,0,2,0,1
PropertiesConfiguration.JupPropertiesWriter,100%,1,n/a,n/a,0,2,2,0,11,0,2,0,1
SynchronizerTestImpl.Methods,100%,1,n/a,n/a,0,1,1,0,2,0,1,0,1
TestPropertiesConfiguration.PropertiesReaderTestImpl,100%,1,100%,1,0,5,5,0,7,0,4,0,1
TestCompositeConfigurationNonStringProperties,100%,1,n/a,n/a,0,2,2,0,11,0,2,0,1
TestSystemConfiguration.new Thread() {...},100%,1,100%,1,0,5,5,0,8,0,2,0,1
TestAbstractConfigurationBasicFeatures.TestConfigurationImpl,100%,1,n/a,n/a,0,8,8,0,12,0,8,0,1
BaseConfigurationXMLReader,100%,1,n/a,n/a,0,6,6,0,13,0,6,0,1
ConfigurationMap,100%,1,n/a,n/a,0,5,5,0,10,0,5,0,1
HierarchicalConfigurationXMLReader,100%,1,n/a,n/a,0,6,6,0,13,0,6,0,1
ImmutableConfigurationInvocationHandler,100%,1,100%,1,0,5,5,0,11,0,3,0,1
DynamicCombinedConfiguration.CurrentConfigHolder,100%,1,100%,1,0,7,7,0,10,0,6,0,1
TestCombinedConfiguration.CombinedListener,100%,1,100%,1,0,3,3,0,7,0,2,0,1
TestNonStringProperties,100%,1,n/a,n/a,0,2,2,0,9,0,2,0,1
TestEqualsProperty,100%,1,n/a,n/a,0,2,2,0,9,0,2,0,1
DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},100%,1,n/a,n/a,0,2,2,0,4,0,2,0,1
ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,100%,1,n/a,n/a,0,4,4,0,7,0,4,0,1
ConfigurationMap.ConfigurationSet,100%,1,100%,1,0,4,4,0,9,0,3,0,1
TestAbstractConfigurationBasicFeatures.new TestAbstractConfigurationBasicFeatures.TestConfigurationImpl() {...},100%,1,n/a,n/a,0,2,2,0,5,0,2,0,1
TestPropertiesConfigurationLayout.LayoutTestConfiguration,100%,1,100%,1,0,4,4,0,7,0,2,0,1
FindNodeVisitor,100%,1,100%,1,0,6,6,0,10,0,5,0,1
SubsetConfiguration.SubsetIterator,100%,1,n/a,n/a,0,4,4,0,7,0,4,0,1
TestPropertiesConfiguration.MockHttpURLStreamHandler,100%,1,n/a,n/a,0,3,3,0,7,0,3,0,1
BaseConfigurationXMLReader.SAXConverter,100%,1,100%,1,0,4,4,0,7,0,3,0,1
TestJNDIConfiguration.PotentialErrorJNDIConfiguration,100%,1,100%,1,0,5,5,0,9,0,4,0,1
PropertiesConfiguration.JupIOFactory,100%,1,n/a,n/a,0,4,4,0,7,0,4,0,1
EnvironmentConfiguration,100%,1,n/a,n/a,0,4,4,0,5,0,4,0,1
DynamicCombinedConfiguration.ConfigData,100%,1,n/a,n/a,0,4,4,0,8,0,4,0,1
ConfigurationLookup,100%,1,100%,1,0,4,4,0,7,0,3,0,1
AbstractHierarchicalConfiguration.DefinedVisitor,100%,1,100%,1,0,5,5,0,6,0,3,0,1
TestXMLConfiguration.ReloadThread,100%,1,100%,1,0,3,3,0,6,0,2,0,1
ImmutableConfigurationInvocationHandler.ImmutableIterator,100%,1,n/a,n/a,0,4,4,0,6,0,4,0,1
TestConfigurationConverter.new IAnswer() {...},100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
TestSubsetConfiguration.new Lookup() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
TestSubnodeConfiguration.new Lookup() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
FileURLStreamHandler,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
TestXMLPropertiesConfiguration.new EntityResolver() {...},100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
XMLPropertiesConfiguration.new EntityResolver() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
TestConfigurationUtils.CloneableSynchronizer,100%,1,n/a,n/a,0,3,3,0,5,0,3,0,1
DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
PropertiesConfiguration.DefaultIOFactory,100%,1,n/a,n/a,0,3,3,0,3,0,3,0,1
TestAbstractConfigurationBasicFeatures.CollectingConfigurationListener,100%,1,n/a,n/a,0,2,2,0,4,0,2,0,1
TestCombinedConfiguration.new BaseHierarchicalConfiguration() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
InterpolationTestHelper.new Lookup() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
TestConfigurationUtils.new ClassLoader() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
BaseHierarchicalConfiguration.new EventListener() {...},100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
INIConfiguration.GlobalSectionNodeModel,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
TestPropertiesConfiguration.DummyLayout,100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
TestConfigurationUtils.new XMLBuilderParametersImpl() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
ConfigurationUtils.new EventListener() {...},100%,1,n/a,n/a,0,2,2,0,3,0,2,0,1
XMLConfiguration.new DefaultHandler() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
TestXMLConfiguration.new DefaultHandler() {...},100%,1,n/a,n/a,0,2,2,0,2,0,2,0,1
TestPropertiesConfiguration.PropertiesWriterTestImpl,100%,1,n/a,n/a,0,1,1,0,2,0,1,0,1
ConfigurationUtils.new EventSource() {...},100%,1,n/a,n/a,0,3,3,0,3,0,3,0,1
TestBaseConfigurationXMLReader.TestContentHandler,100%,1,n/a,n/a,0,1,1,0,1,0,1,0,1
